c,c_t,t,u,u_r,r,e,e_space,space,space_f,f,f_backspace,backspace,backspace_o,o,o_f,f_space,space_t,t_h,h,h_e,space_c,c_o,o_m,m,m_m,m_a,a,n,n_d,d,d_space,space_p,p,p_r,r_o,m_p,p_y,y,y_backspace,backspace_t,t_space,space_shift,?,shift
0.14009499549865723,0.08605718612670898,0.16010594367980957,0.11007380485534668,0.06904411315917969,0.260174036026001,0.17911934852600098,0.030019760131835938,0.11507511138916016,0.43729090690612793,0.17411494255065918,0.32721757888793945,0.10657310485839844,0.18314313888549805,0.14309477806091309,0.014011621475219727,0.021013736724853516,0.0020008087158203125,0.002001047134399414,0.12208032608032227,0.0010023117065429688,0.033020973205566406,0.0,0.3102073669433594,0.10306787490844727,0.14809846878051758,0.13508963584899902,0.16210699081420898,0.11507534980773926,0.0760500431060791,0.11007356643676758,0.00600433349609375,0.12908530235290527,0.061040401458740234,0.07705163955688477,0.26317548751831055,0.07905220985412598,0.18412208557128906,0.07805156707763672,0.5063357353210449,0.03001999855041504,0.476315975189209,0.207136869430542,0.09206056594848633,0.2541694641113281
0.0,0.0,0.14209365844726562,0.0,0.0,0.09906506538391113,0.16010618209838867,0.0,0.0930638313293457,0.0,0.1350874900817871,0.0,0.06104135513305664,0.0,0.1090703010559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036025047302246094,0.07705092430114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11007308959960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26017189025878906
0.0,0.0,0.14409518241882324,0.0,0.0,0.0,0.0,0.0,0.12108111381530762,0.0,0.0,0.0,0.0,0.0,0.1691117286682129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12308096885681152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06704378128051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08605742454528809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
